"Id","CurrencyId","AsAt","Rate","CreateDate"
"10211","203","2020-01-02T00:00:00.000Z","23.4004","2022-12-22T11:33:00.000Z"
"10212","208","2020-01-02T00:00:00.000Z","6.8787","2022-12-22T11:33:00.000Z"
"10213","214","2020-01-02T00:00:00.000Z","54.6083","2022-12-22T11:33:00.000Z"
"10214","818","2020-01-02T00:00:00.000Z","16.5178","2022-12-22T11:33:00.000Z"
"10215","978","2020-01-02T00:00:00.000Z","0.9211","2022-12-22T11:33:00.000Z"
"10216","826","2020-01-02T00:00:00.000Z","0.7831","2022-12-22T11:33:00.000Z"
"10217","320","2020-01-02T00:00:00.000Z","7.9476","2022-12-22T11:33:00.000Z"
"10218","344","2020-01-02T00:00:00.000Z","8.0396","2022-12-22T11:33:00.000Z"
"10219","191","2020-01-02T00:00:00.000Z","6.8524","2022-12-22T11:33:00.000Z"
"10220","348","2020-01-02T00:00:00.000Z","304.1474","2022-12-22T11:33:00.000Z"
"10221","360","2020-01-02T00:00:00.000Z","14458.3389","2022-12-22T11:33:00.000Z"
"10222","376","2020-01-02T00:00:00.000Z","3.5676","2022-12-22T11:33:00.000Z"
"10223","356","2020-01-02T00:00:00.000Z","73.662","2022-12-22T11:33:00.000Z"
"10224","352","2020-01-02T00:00:00.000Z","125.309","2022-12-22T11:33:00.000Z"
"10225","392","2020-01-02T00:00:00.000Z","112.2098","2022-12-22T11:33:00.000Z"
"10226","410","2020-01-02T00:00:00.000Z","1193.4979","2022-12-22T11:33:00.000Z"
"10227","398","2020-01-02T00:00:00.000Z","393.264","2022-12-22T11:33:00.000Z"
"10228","484","2020-01-02T00:00:00.000Z","19.4885","2022-12-22T11:33:00.000Z"
"10229","458","2020-01-02T00:00:00.000Z","4.2261","2022-12-22T11:33:00.000Z"
"10230","578","2020-01-02T00:00:00.000Z","9.0719","2022-12-22T11:34:00.000Z"
"10231","554","2020-01-02T00:00:00.000Z","1.5355","2022-12-22T11:34:00.000Z"
"10232","590","2020-01-02T00:00:00.000Z","1.0323","2022-12-22T11:34:00.000Z"
"10233","604","2020-01-02T00:00:00.000Z","3.4172","2022-12-22T11:34:00.000Z"
"10234","608","2020-01-02T00:00:00.000Z","52.3375","2022-12-22T11:34:00.000Z"
"10235","586","2020-01-02T00:00:00.000Z","159.2591","2022-12-22T11:34:00.000Z"
"10236","985","2020-01-02T00:00:00.000Z","3.9192","2022-12-22T11:34:00.000Z"
"10237","600","2020-01-02T00:00:00.000Z","6423.3127","2022-12-22T11:34:00.000Z"
"10238","946","2020-01-02T00:00:00.000Z","4.4041","2022-12-22T11:34:00.000Z"
"10239","643","2020-01-02T00:00:00.000Z","64.0292","2022-12-22T11:34:00.000Z"
"10240","682","2020-01-02T00:00:00.000Z","3.8721","2022-12-22T11:34:00.000Z"
"10241","752","2020-01-02T00:00:00.000Z","9.6368","2022-12-22T11:34:00.000Z"
"10242","702","2020-01-02T00:00:00.000Z","1.3902","2022-12-22T11:34:00.000Z"
"10243","764","2020-01-02T00:00:00.000Z","30.8757","2022-12-22T11:34:00.000Z"
"10244","949","2020-01-02T00:00:00.000Z","6.1445","2022-12-22T11:34:00.000Z"
"10245","901","2020-01-02T00:00:00.000Z","30.9606","2022-12-22T11:34:00.000Z"
"10246","980","2020-01-02T00:00:00.000Z","24.4778","2022-12-22T11:34:00.000Z"
"10247","840","2020-01-02T00:00:00.000Z","1.0323","2022-12-22T11:34:00.000Z"
"10248","858","2020-01-02T00:00:00.000Z","38.3767","2022-12-22T11:34:00.000Z"
"10249","704","2020-01-02T00:00:00.000Z","23941.9791","2022-12-22T11:34:00.000Z"
"10250","710","2020-01-02T00:00:00.000Z","14.4975","2022-12-22T11:34:00.000Z"
"10251","784","2020-01-03T00:00:00.000Z","3.782","2022-12-22T11:34:00.000Z"
"10252","32","2020-01-03T00:00:00.000Z","61.6211","2022-12-22T11:34:00.000Z"
"10253","36","2020-01-03T00:00:00.000Z","1.476","2022-12-22T11:34:00.000Z"
"10254","975","2020-01-03T00:00:00.000Z","1.8033","2022-12-22T11:34:00.000Z"
"10255","986","2020-01-03T00:00:00.000Z","4.1518","2022-12-22T11:34:00.000Z"
"10256","124","2020-01-03T00:00:00.000Z","1.3386","2022-12-22T11:34:00.000Z"
"10257","756","2020-01-03T00:00:00.000Z","1","2022-12-22T11:34:00.000Z"
"10258","152","2020-01-03T00:00:00.000Z","773.5206","2022-12-22T11:34:00.000Z"
"10259","156","2020-01-03T00:00:00.000Z","7.1752","2022-12-22T11:34:00.000Z"
"10260","170","2020-01-03T00:00:00.000Z","3365.0455","2022-12-22T11:34:00.000Z"
"10261","203","2020-01-03T00:00:00.000Z","23.3694","2022-12-22T11:34:00.000Z"
"10262","208","2020-01-03T00:00:00.000Z","6.8809","2022-12-22T11:34:00.000Z"
"10263","214","2020-01-03T00:00:00.000Z","54.5427","2022-12-22T11:34:00.000Z"
"10264","818","2020-01-03T00:00:00.000Z","16.455","2022-12-22T11:34:00.000Z"
"10265","978","2020-01-03T00:00:00.000Z","0.9213","2022-12-22T11:34:00.000Z"
"10266","826","2020-01-03T00:00:00.000Z","0.7837","2022-12-22T11:34:00.000Z"
