Id,CurrencyId,AsAt,Rate,CreateDate
10250,710,02/01/2020,14.4975,22/12/2022 11:34
10251,784,03/01/2020,3.782,22/12/2022 11:34
10252,32,03/01/2020,61.6211,22/12/2022 11:34
10253,36,03/01/2020,1.476,22/12/2022 11:34
10254,975,03/01/2020,1.8033,22/12/2022 11:34
10255,986,03/01/2020,4.1518,22/12/2022 11:34
10256,124,03/01/2020,1.3386,22/12/2022 11:34
10257,756,03/01/2020,1,22/12/2022 11:34
10258,152,03/01/2020,773.5206,22/12/2022 11:34
10259,156,03/01/2020,7.1752,22/12/2022 11:34
10260,170,03/01/2020,3365.0455,22/12/2022 11:34
10261,203,03/01/2020,23.3694,22/12/2022 11:34
10262,208,03/01/2020,6.8809,22/12/2022 11:34
10263,214,03/01/2020,54.5427,22/12/2022 11:34
10264,818,03/01/2020,16.455,22/12/2022 11:34
10265,978,03/01/2020,0.9213,22/12/2022 11:34
10266,826,03/01/2020,0.7837,22/12/2022 11:34
10267,320,03/01/2020,7.9299,22/12/2022 11:34
10268,344,03/01/2020,8.0187,22/12/2022 11:34
10269,191,03/01/2020,6.8646,22/12/2022 11:34
10270,348,03/01/2020,303.8853,22/12/2022 11:34
10271,360,03/01/2020,14529.6317,22/12/2022 11:34
10272,376,03/01/2020,3.5649,22/12/2022 11:34
10273,356,03/01/2020,73.6351,22/12/2022 11:34
10274,352,03/01/2020,125.9669,22/12/2022 11:34
10275,392,03/01/2020,111.6839,22/12/2022 11:34
10276,410,03/01/2020,1195.3585,22/12/2022 11:34
10277,398,03/01/2020,393.8719,22/12/2022 11:34
10278,484,03/01/2020,19.47,22/12/2022 11:34
10279,458,03/01/2020,4.2163,22/12/2022 11:34
10280,578,03/01/2020,9.0692,22/12/2022 11:34
10281,554,03/01/2020,1.5392,22/12/2022 11:34
10282,590,03/01/2020,1.03,22/12/2022 11:34
10283,604,03/01/2020,3.4043,22/12/2022 11:34
10284,608,03/01/2020,52.4097,22/12/2022 11:34
10285,586,03/01/2020,158.7607,22/12/2022 11:34
10286,985,03/01/2020,3.9161,22/12/2022 11:34
10287,600,03/01/2020,6449.6705,22/12/2022 11:34
10288,946,03/01/2020,4.4061,22/12/2022 11:34
10289,643,03/01/2020,63.775,22/12/2022 11:34
10290,682,03/01/2020,3.8632,22/12/2022 11:35
10291,752,03/01/2020,9.6515,22/12/2022 11:35
10292,702,03/01/2020,1.3884,22/12/2022 11:35
10293,764,03/01/2020,30.9504,22/12/2022 11:35
10294,949,03/01/2020,6.1401,22/12/2022 11:35
10295,901,03/01/2020,30.9059,22/12/2022 11:35
10296,980,03/01/2020,24.3504,22/12/2022 11:35
10297,840,03/01/2020,1.03,22/12/2022 11:35
10298,858,03/01/2020,38.3245,22/12/2022 11:35
10299,704,03/01/2020,23887.6232,22/12/2022 11:35
10300,710,03/01/2020,14.5692,22/12/2022 11:35
10301,784,04/01/2020,3.7777,22/12/2022 11:35
10302,32,04/01/2020,61.5279,22/12/2022 11:35
10303,36,04/01/2020,1.4779,22/12/2022 11:35
10304,975,04/01/2020,1.8055,22/12/2022 11:35
10305,986,04/01/2020,4.1631,22/12/2022 11:35
10306,124,04/01/2020,1.3362,22/12/2022 11:35
10307,756,04/01/2020,1,22/12/2022 11:35
10308,152,04/01/2020,772.9746,22/12/2022 11:35
10309,156,04/01/2020,7.1691,22/12/2022 11:35
10310,170,04/01/2020,3373.3342,22/12/2022 11:35
10311,203,04/01/2020,23.3597,22/12/2022 11:35
10312,208,04/01/2020,6.8879,22/12/2022 11:35
10313,214,04/01/2020,54.485,22/12/2022 11:35
10314,818,04/01/2020,16.4344,22/12/2022 11:35
10315,978,04/01/2020,0.9216,22/12/2022 11:35
10316,826,04/01/2020,0.785,22/12/2022 11:35
10317,320,04/01/2020,7.9211,22/12/2022 11:35
10318,344,04/01/2020,8.0061,22/12/2022 11:35
10319,191,04/01/2020,6.8733,22/12/2022 11:35
10320,348,04/01/2020,303.9515,22/12/2022 11:35
10321,360,04/01/2020,14527.5711,22/12/2022 11:35
10322,376,04/01/2020,3.5681,22/12/2022 11:35
10323,356,04/01/2020,73.6935,22/12/2022 11:35
10324,352,04/01/2020,126.3807,22/12/2022 11:35
10325,392,04/01/2020,111.2845,22/12/2022 11:35
10326,410,04/01/2020,1197.6554,22/12/2022 11:35
10327,398,04/01/2020,393.8411,22/12/2022 11:35
10328,484,04/01/2020,19.4804,22/12/2022 11:35
10329,458,04/01/2020,4.2139,22/12/2022 11:35
10330,578,04/01/2020,9.074,22/12/2022 11:35
10331,554,04/01/2020,1.5416,22/12/2022 11:35
10332,590,04/01/2020,1.0288,22/12/2022 11:35
10333,604,04/01/2020,3.4002,22/12/2022 11:35
10334,608,04/01/2020,52.4996,22/12/2022 11:35
10335,586,04/01/2020,158.9891,22/12/2022 11:35
10336,985,04/01/2020,3.9164,22/12/2022 11:35
10337,600,04/01/2020,6465.5573,22/12/2022 11:35
10338,946,04/01/2020,4.4093,22/12/2022 11:35
10339,643,04/01/2020,63.7291,22/12/2022 11:35
10340,682,04/01/2020,3.8589,22/12/2022 11:35
10341,752,04/01/2020,9.6662,22/12/2022 11:35
10342,702,04/01/2020,1.3878,22/12/2022 11:35
10343,764,04/01/2020,30.9848,22/12/2022 11:35
10344,949,04/01/2020,6.1401,22/12/2022 11:35
10345,901,04/01/2020,30.8964,22/12/2022 11:35
10346,980,04/01/2020,24.2533,22/12/2022 11:35
10347,840,04/01/2020,1.0288,22/12/2022 11:35
10348,858,04/01/2020,38.2577,22/12/2022 11:35
10349,704,04/01/2020,23860.4137,22/12/2022 11:35
10350,710,04/01/2020,14.6485,22/12/2022 11:36
10351,784,05/01/2020,3.7783,22/12/2022 11:36
10352,32,05/01/2020,61.537,22/12/2022 11:36
10353,36,05/01/2020,1.4784,22/12/2022 11:36
10354,975,05/01/2020,1.8057,22/12/2022 11:36
10355,986,05/01/2020,4.1645,22/12/2022 11:36
10356,124,05/01/2020,1.3362,22/12/2022 11:36
10357,756,05/01/2020,1,22/12/2022 11:36
10358,152,05/01/2020,772.5392,22/12/2022 11:36
10359,156,05/01/2020,7.1704,22/12/2022 11:36
10360,170,05/01/2020,3373.834,22/12/2022 11:36
10361,203,05/01/2020,23.366,22/12/2022 11:36
10362,208,05/01/2020,6.8893,22/12/2022 11:36
10363,214,05/01/2020,54.4931,22/12/2022 11:36
10364,818,05/01/2020,16.4368,22/12/2022 11:36
10365,978,05/01/2020,0.9217,22/12/2022 11:36
10366,826,05/01/2020,0.7852,22/12/2022 11:36
10367,320,05/01/2020,7.9222,22/12/2022 11:36
10368,344,05/01/2020,8.0071,22/12/2022 11:36
10369,191,05/01/2020,6.8744,22/12/2022 11:36
10370,348,05/01/2020,304.0488,22/12/2022 11:36
10371,360,05/01/2020,14469.0038,22/12/2022 11:36
10372,376,05/01/2020,3.5691,22/12/2022 11:36
10373,356,05/01/2020,73.7187,22/12/2022 11:36
10374,352,05/01/2020,126.4171,22/12/2022 11:36
10375,392,05/01/2020,111.2669,22/12/2022 11:36
10376,410,05/01/2020,1198.0292,22/12/2022 11:36
10377,398,05/01/2020,393.8994,22/12/2022 11:36
10378,484,05/01/2020,19.4899,22/12/2022 11:36
10379,458,05/01/2020,4.2154,22/12/2022 11:36
10380,578,05/01/2020,9.0757,22/12/2022 11:36
10381,554,05/01/2020,1.5421,22/12/2022 11:36
10382,590,05/01/2020,1.0289,22/12/2022 11:36
10383,604,05/01/2020,3.4022,22/12/2022 11:36
10384,608,05/01/2020,52.5329,22/12/2022 11:36
10385,586,05/01/2020,159.0127,22/12/2022 11:36
10386,985,05/01/2020,3.9175,22/12/2022 11:36
10387,600,05/01/2020,6466.5151,22/12/2022 11:36
10388,946,05/01/2020,4.4107,22/12/2022 11:36
10389,643,05/01/2020,63.7476,22/12/2022 11:36
10390,682,05/01/2020,3.8596,22/12/2022 11:36
10391,752,05/01/2020,9.6695,22/12/2022 11:36
10392,702,05/01/2020,1.388,22/12/2022 11:36
10393,764,05/01/2020,31.0114,22/12/2022 11:36
10394,949,05/01/2020,6.1413,22/12/2022 11:36
10395,901,05/01/2020,30.8994,22/12/2022 11:36
10396,980,05/01/2020,24.2799,22/12/2022 11:36
10397,840,05/01/2020,1.0289,22/12/2022 11:36
10398,858,05/01/2020,38.2634,22/12/2022 11:36
10399,704,05/01/2020,23863.9485,22/12/2022 11:36
10400,710,05/01/2020,14.6573,22/12/2022 11:36
10401,784,06/01/2020,3.7821,22/12/2022 11:36
10402,32,06/01/2020,61.5574,22/12/2022 11:36
10403,36,06/01/2020,1.4817,22/12/2022 11:36
10404,975,06/01/2020,1.8051,22/12/2022 11:36
10405,986,06/01/2020,4.1694,22/12/2022 11:36
10406,124,06/01/2020,1.337,22/12/2022 11:36
10407,756,06/01/2020,1,22/12/2022 11:36
10408,152,06/01/2020,774.5732,22/12/2022 11:36
10409,156,06/01/2020,7.1786,22/12/2022 11:36
10410,170,06/01/2020,3386.9883,22/12/2022 11:37
10411,203,06/01/2020,23.3675,22/12/2022 11:37
10412,208,06/01/2020,6.8931,22/12/2022 11:37
10413,214,06/01/2020,54.5333,22/12/2022 11:37
10414,818,06/01/2020,16.4747,22/12/2022 11:37
10415,978,06/01/2020,0.9221,22/12/2022 11:37
10416,826,06/01/2020,0.7855,22/12/2022 11:37
10417,320,06/01/2020,7.9345,22/12/2022 11:37
10418,344,06/01/2020,8.0112,22/12/2022 11:37
10419,191,06/01/2020,6.8714,22/12/2022 11:37
10420,348,06/01/2020,304.1755,22/12/2022 11:37
10421,360,06/01/2020,14516.075,22/12/2022 11:37
10422,376,06/01/2020,3.5759,22/12/2022 11:37
10423,356,06/01/2020,73.9048,22/12/2022 11:37
10424,352,06/01/2020,126.4636,22/12/2022 11:37
10425,392,06/01/2020,111.365,22/12/2022 11:37
10426,410,06/01/2020,1201.0424,22/12/2022 11:37
10427,398,06/01/2020,394.4338,22/12/2022 11:37
10428,484,06/01/2020,19.4827,22/12/2022 11:37
10429,458,06/01/2020,4.2229,22/12/2022 11:37
10430,578,06/01/2020,9.0799,22/12/2022 11:37
10431,554,06/01/2020,1.5446,22/12/2022 11:37
10432,590,06/01/2020,1.03,22/12/2022 11:37
10433,604,06/01/2020,3.4111,22/12/2022 11:37
10434,608,06/01/2020,52.6235,22/12/2022 11:37
10435,586,06/01/2020,159.3059,22/12/2022 11:37
10436,985,06/01/2020,3.9176,22/12/2022 11:37
10437,600,06/01/2020,6491.7277,22/12/2022 11:37
10438,946,06/01/2020,4.4086,22/12/2022 11:37
10439,643,06/01/2020,63.8252,22/12/2022 11:37
10440,682,06/01/2020,3.8638,22/12/2022 11:37
10441,752,06/01/2020,9.6858,22/12/2022 11:37
10442,702,06/01/2020,1.3898,22/12/2022 11:37
10443,764,06/01/2020,31.0579,22/12/2022 11:37
10444,949,06/01/2020,6.1503,22/12/2022 11:37
10445,901,06/01/2020,30.9383,22/12/2022 11:37
10446,980,06/01/2020,24.332,22/12/2022 11:37
